"Genus","Species","Kingdom","Phylum","Class","Order","Family","limit_type","Tpref","ref_Tpref","n_Tpref","ref_from_ref","notes_Tpref"
"Liolaemus","fitzingerii","Animalia","Chordata","Reptilia","Squamata","Iguanidae","max, min",NA,NA,NA,NA,NA
"Liolaemus","fuscus","Animalia","Chordata","Reptilia","Squamata","Iguanidae","min",NA,NA,NA,NA,NA
"Liolaemus","hellmichi","Animalia","Chordata","Reptilia","Squamata","Iguanidae","min",NA,NA,NA,NA,NA
"Liolaemus","irregularis","Animalia","Chordata","Reptilia","Squamata","Iguanidae","max, min",NA,NA,NA,NA,NA
"Liolaemus","jamesi","Animalia","Chordata","Reptilia","Squamata","Iguanidae","min",NA,NA,NA,NA,NA
"Liolaemus","kingii","Animalia","Chordata","Reptilia","Squamata","Iguanidae","max, min",NA,NA,NA,NA,NA
"Liolaemus","koslowskyi","Animalia","Chordata","Reptilia","Squamata","Iguanidae","max, min",NA,NA,NA,NA,NA
"Liolaemus","kriegi","Animalia","Chordata","Reptilia","Squamata","Iguanidae","max, min",NA,NA,NA,NA,NA
"Liolaemus","laurenti","Animalia","Chordata","Reptilia","Squamata","Iguanidae","max, min",NA,NA,NA,NA,NA
"Liolaemus","lemniscatus","Animalia","Chordata","Reptilia","Squamata","Iguanidae","min",NA,NA,NA,NA,NA
"Liolaemus","leopardinus","Animalia","Chordata","Reptilia","Squamata","Iguanidae","min",NA,NA,NA,NA,NA
"Liolaemus","lorenzmuelleri","Animalia","Chordata","Reptilia","Squamata","Iguanidae","min",NA,NA,NA,NA,NA
"Liolaemus","melanops","Animalia","Chordata","Reptilia","Squamata","Iguanidae","max, min",NA,NA,NA,NA,NA
"Liolaemus","monticola","Animalia","Chordata","Reptilia","Squamata","Iguanidae","min",NA,NA,NA,NA,NA
"Liolaemus","multicolor","Animalia","Chordata","Reptilia","Squamata","Iguanidae","max, min",NA,NA,NA,NA,NA
"Liolaemus","multimaculatus","Animalia","Chordata","Reptilia","Squamata","Iguanidae","max, min",NA,NA,NA,NA,NA
"Liolaemus","nigromaculatus","Animalia","Chordata","Reptilia","Squamata","Iguanidae","min",NA,NA,NA,NA,NA
"Liolaemus","nigroviridis","Animalia","Chordata","Reptilia","Squamata","Iguanidae","min",NA,NA,NA,NA,NA
"Liolaemus","nitidus","Animalia","Chordata","Reptilia","Squamata","Iguanidae","min",NA,NA,NA,NA,NA
"Liolaemus","olongasta","Animalia","Chordata","Reptilia","Squamata","Iguanidae","max, min",NA,NA,NA,NA,NA
"Liolaemus","ornatus","Animalia","Chordata","Reptilia","Squamata","Iguanidae","min",NA,NA,NA,NA,NA
